Start of song
Instrument: recorder
Start of notes
Note: beat=0, position=0, pitch=C5, duration=6, instrument=recorder
Note: beat=94, position=3, pitch=A4, duration=3, instrument=recorder
Note: beat=94, position=6, pitch=A#4, duration=3, instrument=recorder
Note: beat=94, position=9, pitch=C5, duration=3, instrument=recorder
Note: beat=95, position=2, pitch=F4, duration=1, instrument=recorder
Note: beat=95, position=3, pitch=G4, duration=1, instrument=recorder
Note: beat=95, position=4, pitch=A4, duration=2, instrument=recorder
Note: beat=95, position=6, pitch=A#4, duration=2, instrument=recorder
Note: beat=95, position=8, pitch=A4, duration=1, instrument=recorder
Note: beat=95, position=9, pitch=A#4, duration=1, instrument=recorder
Note: beat=95, position=10, pitch=C5, duration=2, instrument=recorder
Note: beat=96, position=0, pitch=F5, duration=2, instrument=recorder
Note: beat=96, position=2, pitch=F4, duration=1, instrument=recorder
Note: beat=96, position=3, pitch=G4, duration=1, instrument=recorder
Note: beat=96, position=4, pitch=A4, duration=2, instrument=recorder
Note: beat=96, position=6, pitch=A#4, duration=2, instrument=recorder
Note: beat=96, position=8, pitch=A4, duration=1, instrument=recorder
Note: beat=96, position=9, pitch=A#4, duration=1, instrument=recorder
Note: beat=96, position=10, pitch=C5, duration=2, instrument=recorder
Note: beat=97, position=0, pitch=D5, duration=2, instrument=recorder
Note: beat=97, position=2, pitch=C5, duration=1, instrument=recorder
Note: beat=97, position=3, pitch=D5, duration=1, instrument=recorder
Note: beat=97, position=4, pitch=E5, duration=2, instrument=recorder
Note: beat=97, position=6, pitch=F5, duration=2, instrument=recorder
Note: beat=97, position=8, pitch=A4, duration=1, instrument=recorder
Note: beat=97, position=9, pitch=A#4, duration=1, instrument=recorder
Note: beat=97, position=10, pitch=C5, duration=2, instrument=recorder
Note: beat=98, position=0, pitch=D5, duration=2, instrument=recorder
Note: beat=98, position=2, pitch=C5, duration=1, instrument=recorder
Note: beat=98, position=3, pitch=D5, duration=1, instrument=recorder
Note: beat=98, position=4, pitch=E5, duration=2, instrument=recorder
Note: beat=98, position=6, pitch=F5, duration=2, instrument=recorder
Note: beat=98, position=8, pitch=E5, duration=1, instrument=recorder
Note: beat=98, position=9, pitch=F5, duration=1, instrument=recorder
Note: beat=98, position=10, pitch=G5, duration=2, instrument=recorder
Note: beat=99, position=0, pitch=A5, duration=2, instrument=recorder
Note: beat=99, position=2, pitch=C5, duration=1, instrument=recorder
Note: beat=99, position=3, pitch=D5, duration=1, instrument=recorder
Note: beat=99, position=4, pitch=E5, duration=2, instrument=recorder
Note: beat=99, position=6, pitch=F5, duration=2, instrument=recorder
Note: beat=99, position=8, pitch=E5, duration=1, instrument=recorder
Note: beat=99, position=9, pitch=F5, duration=1, instrument=recorder
Note: beat=99, position=10, pitch=G5, duration=2, instrument=recorder
Note: beat=100, position=0, pitch=A5, duration=3, instrument=recorder
Note: beat=100, position=3, pitch=G5, duration=3, instrument=recorder
Note: beat=100, position=6, pitch=A5, duration=3, instrument=recorder
Note: beat=100, position=9, pitch=D5, duration=3, instrument=recorder
Note: beat=101, position=0, pitch=C5, duration=3, instrument=recorder
Note: beat=101, position=3, pitch=F5, duration=3, instrument=recorder
Note: beat=101, position=6, pitch=A#4, duration=3, instrument=recorder
Note: beat=101, position=9, pitch=C5, duration=3, instrument=recorder
Note: beat=102, position=0, pitch=F4, duration=12, instrument=recorder
End of song
